,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.1135,, 
1,2,2019-10-10 18:59:45,0.33278154204910393,0.4833,SyntaxError: bad input on line 5,"def isPrimes(number):
    if number == 1:
        return False 
    for x in range(2, number-1):
        if number % x == 0
        return False 
    return True 

def FindPrimes(P):
    # your code here


"
2,3,2019-10-17 00:55:08,0.34097233011843375,0.4975,SyntaxError: bad input on line 6,"def isPrimes(number):
    if number == 1:
        return False 
    for x in range(2, number-1):
        if number % x == 0:
        return False 
    return True 

def FindPrimes(P):
    # your code here


"
3,4,2019-10-17 00:55:43,0.2773525362482616,0.4545,SyntaxError: bad input on line 4,"def isPrimes(number): 
    for x in range(2, number):
        if number % x == 0:
        return False 
    return True 

def FindPrimes(P):
    # your code here


"
4,5,2019-10-17 00:59:35,0.27104659368321005,0.452,SyntaxError: bad input on line 12,"def isPrimes(number): 
    for x in range(2, number):
        if number % x == 0:
            return False 
    return True 

def FindPrimes(P):
    # your code here


"
5,6,2019-10-17 01:05:21,0.6338484464990479,0.6913,SyntaxError: bad input on line 14,"def isPrimes(P): 
    for x in range(2, P):
        if number % x == 0:
            return False 
    return True 

def FindPrimes(P):
    start = 0
    for y in range (1,P):
        check = True 
        for i in range (1,y):
            if y % i == 0:
                check = False
            if check == True
                start = start + 1
                
    return start

"
6,7,2019-10-17 01:05:29,0.6430975009153563,0.703,success,"def isPrimes(P): 
    for x in range(2, P):
        if number % x == 0:
            return False 
    return True 

def FindPrimes(P):
    start = 0
    for y in range (1,P):
        check = True 
        for i in range (1,y):
            if y % i == 0:
                check = False
            if check == True:
                start = start + 1
                
    return start

"
7,8,2019-10-17 01:05:51,0.6430975009153563,0.703,success,"def isPrimes(P): 
    for x in range(2, P):
        if number % x == 0:
            return False 
    return True 

def FindPrimes(P):
    start = 0
    for y in range (1,P):
        check = True 
        for i in range (1,y):
            if y % i == 0:
                check = False
            if check == True:
                start = start + 1
                
    return start


"
8,9,2019-10-17 01:05:59,0.6051139058092739,0.672,SyntaxError: bad input on line 17,"def isPrimes(P): 
    for x in range(2, P):
        if number % x == 0:
            return False 
    return True 

def FindPrimes(P):
    start = 0
    for y in range (1,P):
        check = True 
        for i in range (1,y):
            if y % i == 0:
                check = False
            if check == True:
             
                
    return start


"
9,10,2019-10-17 01:06:15,0.6253507699700087,0.6943,success,"def isPrimes(P): 
    for x in range(2, P):
        if number % x == 0:
            return False 
    return True 

def FindPrimes(P):
    start = 0
    for y in range (1,P):
        check = True 
        for i in range (1,y):
            if y % i == 0:
                check = False
            if check == True:
                 start += 1
                
    return start


"
10,11,2019-10-17 01:06:54,0.20913855397401715,0.3805,SyntaxError: bad input on line 1,"def isPrimes(100): 
    for x in range(2, 100):
        if number % x == 0:
            return False 
    return True 



"
11,12,2019-10-17 01:09:41,0.2695816324715603,0.4267,success,"def isPrime(n):
    for i in range(2,int(n**0.5)+1):
        if n%i==0:
            return False

    return True

"
12,13,2019-10-17 01:12:02,0.6523428315758639,0.7327,NameError: name 'start' is not defined on line 18,"def isPrimes(): 
    for x in range(2, 100):
        if number % x == 0:
            return False 
    return True 

def FindPrimes(P):
    start = 0
    for y in range (1,P):
        check = True 
        for i in range (1,y):
            if y % i == 0:
                check = False
            if check == True:
                 start += 1
                
    return start
print(start)
"
13,14,2019-10-17 01:12:13,0.6512299644342278,0.7268,NameError: name 'P' is not defined on line 19,"def isPrimes(): 
    for x in range(2, 100):
        if number % x == 0:
            return False 
    return True 

def FindPrimes(P):
    start = 0
    for y in range (1,P):
        check = True 
        for i in range (1,y):
            if y % i == 0:
                check = False
            if check == True:
                 start += 1
                
    return start

print(P)
"
