,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0025,, 
1,2,2020-09-22 02:57:31,0.40910956194511816,0.5442,TimeLimitError: Program exceeded run time limit. on line 6,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(350)
    ans.left(250)


"
2,3,2020-09-22 02:59:45,0.431685390367179,0.6111,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(150)
    ans.left(150)


"
3,4,2020-09-22 02:59:46,0.408027105206086,0.6217,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(110)
    ans.left(216)


"
4,5,2020-09-22 02:59:58,0.431685390367179,0.6111,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(150)
    ans.left(150)


"
5,6,2020-09-22 03:00:17,0.41179192956108635,0.5988,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(100)
    ans.left(100)


"
6,7,2020-09-22 03:00:34,0.4042049481331945,0.5652,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(90)
    ans.left(90)


"
7,8,2020-09-22 03:00:49,0.4182678696271944,0.5633,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(90)
    ans.left(100)


"
8,9,2020-09-22 03:01:01,0.41179192956108635,0.5988,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(100)
    ans.left(100)


"
9,10,2020-09-22 03:01:23,0.4027304740028367,0.5452,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(120)
    ans.left(100)


"
10,11,2020-09-22 03:01:43,0.4104592218786244,0.5471,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(120)
    ans.left(140)


"
11,12,2020-09-22 03:02:09,0.4204799278714417,0.5959,success,"import turtle

ans = turtle.Turtle()

for i in range(10):
    ans.forward(130)
    ans.left(140)


"
12,13,2020-09-22 03:02:23,0.42926412269927505,0.6338,success,"import turtle

ans = turtle.Turtle()

for i in range(11):
    ans.forward(130)
    ans.left(140)


"
13,14,2020-09-22 03:02:38,0.4607780462992268,0.707,success,"import turtle

ans = turtle.Turtle()

for i in range(12):
    ans.forward(130)
    ans.left(140)


"
14,15,2020-09-22 03:02:55,0.4064137102372487,0.6298,success,"import turtle

ans = turtle.Turtle()

for i in range(14):
    ans.forward(130)
    ans.left(140)


"
15,16,2020-09-22 03:03:15,0.42177603862302127,0.6719,success,"import turtle

ans = turtle.Turtle()

for i in range(15):
    ans.forward(130)
    ans.left(140)


"
16,17,2020-09-22 03:03:32,0.4607780462992268,0.707,success,"import turtle

ans = turtle.Turtle()

for i in range(12):
    ans.forward(130)
    ans.left(140)


"
17,18,2020-09-22 03:06:42,0.49641861744274396,0.7808,NameError: name 'blue' is not defined on line 8,"import turtle

ans = turtle.Turtle()

for i in range(12):
    ans.forward(130)
    ans.left(140)
    ans.color(blue)


"
18,19,2020-09-22 03:07:35,0.4607780462992268,0.707,success,"import turtle

ans = turtle.Turtle()

for i in range(12):
    ans.forward(130)
    ans.left(140)
    


"
19,20,2020-09-22 03:09:44,0.5103695149288661,0.7911,SyntaxError: EOF in multi-line statement on line 14,"import turtle

ans = turtle.Turtle()

for i in range(12):
    ans.forward(130)
    ans.left(140)
    ans.color(""blue""
    


"
20,21,2020-09-22 03:10:04,0.5104110260690352,0.7978,success,"import turtle

ans = turtle.Turtle()

for i in range(12):
    ans.forward(130)
    ans.left(140)
    ans.color(""blue"")
    


"
21,22,2020-09-22 03:10:43,0.718096271596327,0.8758,success,"import turtle
wn = turtle.Screen()
wn.bgcolor(""lightgreen"")

ans = turtle.Turtle()

for i in range(12):
    ans.forward(130)
    ans.left(140)
    ans.color(""blue"")
    


"
22,23,2020-09-23 00:27:28,0.8597559313656489,0.8529,success,"import turtle
wn = turtle.Screen()
wn.bgcolor(""lightgreen"")

ans = turtle.Turtle()
ans.shape(""turtle"")
ans.penup()
for size in range(10):
    ans.forward(50)
    ans.stamp()
    ans.forward(-50)
    ans.right(36)

for i in range(12):
    ans.forward(130)
    ans.left(140)
    ans.color(""blue"")
    


"
23,24,2020-09-23 00:39:14,0.842722478933295,0.8146,success,"import turtle
wn = turtle.Screen()
wn.bgcolor(""lightgreen"")

ans = turtle.Turtle()
ans.shape(""turtle"")
#ans.penup()
for size in range(10):
    ans.forward(50)
    ans.stamp()
    ans.forward(-50)
    ans.right(36)

for i in range(12):
    ans.forward(130)
    ans.left(140)
    ans.color(""blue"")
    


"
24,25,2020-09-23 00:39:53,0.8604584330451406,0.7587,success,"import turtle
wn = turtle.Screen()
wn.bgcolor(""lightgreen"")

ans = turtle.Turtle()
ans.shape(""turtle"")
#ans.penup()
for size in range(12):
    ans.forward(50)
    ans.stamp()
    ans.forward(-50)
    ans.right(36)

#for i in range(12):
    #ans.forward(130)
    #ans.left(140)
    #ans.color(""blue"")
    


"
25,26,2020-09-23 00:40:06,0.8846268183002279,0.8164,success,"import turtle
wn = turtle.Screen()
wn.bgcolor(""lightgreen"")

ans = turtle.Turtle()
ans.shape(""turtle"")
ans.penup()
for size in range(12):
    ans.forward(50)
    ans.stamp()
    ans.forward(-50)
    ans.right(36)

#for i in range(12):
    #ans.forward(130)
    #ans.left(140)
    #ans.color(""blue"")
    


"
26,27,2020-09-23 00:40:57,0.879044002893118,0.8419,success,"import turtle
wn = turtle.Screen()
wn.bgcolor(""lightgreen"")

ans = turtle.Turtle()
ans.shape(""turtle"")
ans.penup()
for size in range(12):
    ans.forward(70)
    ans.stamp()
    ans.forward(-50)
    ans.right(36)

#for i in range(12):
    #ans.forward(130)
    #ans.left(140)
    #ans.color(""blue"")
    


"
27,28,2020-09-23 00:41:17,0.8044870396224808,0.8389,success,"import turtle
wn = turtle.Screen()
wn.bgcolor(""lightgreen"")

ans = turtle.Turtle()
ans.shape(""turtle"")
ans.penup()
for size in range(1,13):
    ans.forward(70)
    ans.stamp()
    ans.forward(-50)
    ans.right(36)

#for i in range(12):
    #ans.forward(130)
    #ans.left(140)
    #ans.color(""blue"")
    


"
