,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0025,, 
1,2,2020-03-03 03:44:45,0.7568006906879367,0.6574,success,"import turtle
wn =turtle.Screen()
Vava =turtle.Turtle()
Vava.shape(""turtle"")
Vava.penup()

for i in range(10):
    Vava.forward(50)
    Vava.stamp()
    Vava.forward(-50)
    Vava.right(36)
wn.exitonclick()


"
2,3,2020-03-03 03:50:09,0.8076871184849929,0.7078,success,"import turtle
wn =turtle.Screen()
Vava =turtle.Turtle()
Vava.shape(""turtle"")
Vava.penup()

for i in range(11):
    Vava.forward(50)
    Vava.stamp()
    Vava.forward(-50)
    Vava.right(36)
wn.exitonclick()


"
3,4,2020-03-03 03:50:26,0.8087063628438126,0.715,success,"import turtle
wn =turtle.Screen()
Vava =turtle.Turtle()
Vava.shape(""turtle"")
Vava.penup()

for i in range(11):
    Vava.forward(50)
    Vava.stamp()
    Vava.forward(-50)
    Vava.right(30)
wn.exitonclick()


"
4,5,2020-03-03 03:51:08,0.9189099768414595,0.7666,success,"import turtle
wn =turtle.Screen()
Vava =turtle.Turtle()
Vava.shape(""turtle"")
Vava.penup()

for i in range(1,12):
    Vava.forward(50)
    Vava.stamp()
    Vava.forward(-50)
    Vava.right(30)
wn.exitonclick()


"
5,6,2020-03-03 03:51:24,1.0,0.7922,success,"import turtle
wn =turtle.Screen()
Vava =turtle.Turtle()
Vava.shape(""turtle"")
Vava.penup()

for i in range(12):
    Vava.forward(50)
    Vava.stamp()
    Vava.forward(-50)
    Vava.right(30)
wn.exitonclick()


"
